ihtiyaç kredisi tablosu;;;;;;;;;;
sırala tarih;;;aylık borç;ödeme günü tarih;ödenecek taksit sayıı;toplam borç;şuank borç;faiz oranı;fark;
1;12;enpara;7.300;02.03.2026;12;93.840;68.000;4,29;25.840;02.04.2027
2;9;fiba2;7.050;03.03.2026;24;169.200;102.988;3,63;66.212;03.02.2028
3;4;yapıkredi kredi 1;2.000;03.03.2026;19;25.000;25.000;4,19;0;03.10.2027
4;13;teb kredi1;3.280;05.02.2026;24;75.440;44.000;4,35;31.440;05.02.2028
5;1;işbankası kredi 1;3.800;13.03.2026;13;36.000;36.000;4,3;0;13.03.2027
6;6;yapıkredi kredi 3;6.809;15.03.2026;29;104.000;104.000;3,99;0;15.08.2028
7;2;işbankası kredi 2;4.220;15.03.2026;14;41.000;41.000;4,3;0;15.04.2027
8;11;fiba4;3.700;16.04.2026;24;85.146;50.318;3,68;34.828;17.02.2028
9;10;fiba3;7.105;17.03.2026;8;85.146;50.398;3,77;34.748;17.10.2026
10;8;fiba1;3.600;17.03.2026;24;85.150;50.500;3,68;34.650;16.03.2028
11;7;yapıkredi kredi 4;1.500;18.03.2026;2;2.900;2.900;2,79;0;18.04.2026
12;14;teb kredi2;7.470;18.11.2025;21;156.870;94.000;4,09;62.870;02.02.2027
13;15;fiba5;6.700;22.05.2026;12;79.614;56.000;4,36;23.614;22.04.2027
14;3;işbankası kredi 3;400;25.02.2026;20;4.800;4.800;4,3;0;25.09.2027
15;5;yapıkredi kredi 2;8.340;28.02.2026;19;101.000;101.000;4,59;0;30.09.2027
;;;;;;;;;;
khm kredisi tablosu;;;;;;;;;;
banka listesi;toplam borç;kalan limit;aylık borç;;;;;;;
işbankası;50000;0;5.000;;;;;;;
yapıkredi;75000;0;5.000;2600;;;;;;
vb;1305000;0;46.200;0;;;;;;
fiba;50000;0;5.000;;;;;;;
enpara;150000;0;10.000;;;;;;;
teb;73700;1300;8.000;;;;;;;
ziraat;75000;0;8.000;4000;;;;;;
AKBANK;5000;;;5000;;;;;;
;;;;;;;;;;
;;;;;;;;;;
kredi kartı tablosu;;;;;;;;;;
;toplam borç;kalan limit;aylık borç;hesap kesim;ödeme günü tarih;;;;;
işbankası;55000;13000;22.000;28.02.2026;10.03.2026;;;;;
vb 1;130000;58000;52.000;05.01.2026;16.02.2026;;;;;
vb 2;80000;0;32.000;23.01.2026;02.02.2026;;;;;
vb 3;255000;0;102.000;25.01.2026;04.02.2026;;;;;
enpara;76000;28000;30.400;15.05.2025;25.05.2025;;;;;
teb1;3000;47000;1.200;18.02.2026;02.03.2026;;;;;
teb2;;;0;15.02.2026;25.02.2026;;;;;
;;;;;;;;;;
MÜNFERİT TABLOSU;;;;;;;;;;
AYLAR;aylık borç;;;;;;;;;
mayıs;90.000;;;;;;;;;
haziran;90.000;;;;;;;;;
temmuz;90.000;;;;;;;;;
ağustos;90.000;;;;;;;;;
eylül;90.000;;;;;;;;;
ekim;90.000;;;;;;;;;
kasım;90.000;;;;;;;;;
aralık;90.000;;;;;;;;;
